Run ID,Fuel Use: Natural Gas: Total (MBtu),End Use: Natural Gas: Heating (MBtu),End Use: Natural Gas: Hot Water (MBtu),End Use: Natural Gas: Range/Oven (MBtu),Load: Heating: Delivered (MBtu),Load: Hot Water: Delivered (MBtu),Load: Hot Water: Tank Losses (MBtu)
2124,102.133,88.828,11.084,2.221,73.264,4.844,3.734
5301,46.157,36.858,9.299,0.0,30.019,3.211,3.994
5133,37.402,23.24,12.037,0.0,21.922,7.296,2.191
1593,67.216,56.097,11.119,0.0,46.24,5.026,3.587
5557,17.608,5.092,10.385,2.132,3.464,4.247,3.798
4485,78.925,60.305,14.931,3.688,49.369,9.64,2.128
8248,113.04,100.682,5.996,1.856,82.62,2.479,2.245
7200,47.501,27.844,6.101,0.0,22.963,2.603,2.203
9994,34.262,5.731,22.104,0.0,4.364,13.444,3.68
1103,57.329,46.663,10.666,0.0,43.564,4.746,3.517
741,8.102,2.642,5.46,0.0,2.032,0.0,4.23
11977,103.197,66.92,31.524,0.0,54.356,23.772,0.0
10099,36.423,15.437,17.438,3.548,11.464,9.918,3.523
3466,68.848,54.437,11.17,0.0,51.325,6.84,1.958
6928,23.762,6.86,13.704,3.198,6.444,6.605,4.012
11379,102.952,87.163,11.393,2.776,82.501,5.159,3.666
4643,27.925,12.067,12.66,3.198,9.637,5.955,3.853
1331,19.815,8.598,11.217,0.0,6.587,5.083,3.606
573,65.235,49.441,15.793,0.0,45.914,10.306,2.134
4227,101.168,85.611,12.971,2.586,70.084,6.464,3.585
1755,16.778,11.213,5.565,0.0,7.926,0.0,4.312
1567,70.578,58.598,9.609,2.371,44.698,3.535,3.91
6742,100.156,88.38,9.0,2.776,68.387,5.033,2.061
12537,85.553,66.667,15.654,3.232,54.422,8.299,3.828
8879,24.097,7.382,13.517,3.198,6.813,6.617,3.854
10052,108.442,87.947,17.179,3.316,72.544,9.622,3.672
5568,10.278,2.454,7.825,0.0,1.963,2.343,3.719
8613,125.487,115.054,10.433,0.0,93.491,4.313,3.76
6789,9.271,0.834,8.437,0.0,0.567,4.331,2.32
10436,30.601,14.799,11.638,2.665,14.008,5.128,3.878
5930,71.495,49.232,18.574,3.688,36.672,10.409,3.964
13081,94.229,85.739,8.49,0.0,80.698,2.733,3.837
40,15.704,12.741,2.963,0.0,10.509,0.0,2.336
10604,51.048,39.805,11.243,0.0,32.836,5.06,3.65
2927,48.903,34.177,12.14,2.586,26.186,5.638,3.767
7469,15.743,2.96,9.938,2.845,2.522,3.964,3.735
12395,83.585,68.691,12.118,2.776,56.661,5.767,3.62
4816,56.045,45.477,10.568,0.0,40.667,4.354,3.833
914,24.429,12.422,9.875,2.132,9.83,3.818,3.833
128,57.525,40.431,17.094,0.0,37.859,9.518,3.724
9507,23.671,10.344,10.663,2.665,7.983,4.624,3.636
11722,28.148,15.211,12.938,0.0,12.41,6.404,3.619
3459,133.15,125.066,8.084,0.0,102.549,4.224,2.144
8283,87.735,79.089,8.646,0.0,64.746,3.244,3.454
6319,79.477,68.66,6.693,2.783,56.65,3.333,1.943
4012,97.767,75.93,18.149,3.688,71.866,10.406,3.653
1560,51.16,33.432,14.769,2.959,19.794,7.337,4.104
11528,24.086,21.167,2.919,0.0,12.653,0.0,2.3
3839,103.719,86.244,14.846,0.0,80.131,9.393,2.301
4220,89.561,70.978,15.351,3.232,66.833,8.077,3.815
3461,73.848,58.069,15.78,0.0,44.918,10.162,2.275
1336,25.818,10.534,15.284,0.0,8.585,7.794,4.046
1938,107.166,96.175,8.672,2.319,75.765,2.889,3.83
1104,50.811,35.88,14.931,0.0,27.75,7.713,3.854
3653,61.895,46.649,9.697,0.0,37.759,5.553,2.09
2781,45.568,34.025,8.698,2.845,25.662,3.12,3.618
6321,32.931,23.664,9.267,0.0,21.964,3.47,3.709
9993,43.568,31.12,12.449,0.0,29.154,5.791,3.853
10258,124.417,102.339,18.389,3.688,84.221,10.493,3.737
5762,143.49,128.787,12.118,2.586,87.379,5.471,3.906
580,75.975,64.763,4.255,2.371,61.216,3.208,0.0
2775,72.175,59.156,13.019,0.0,47.496,9.817,0.0
5908,66.961,49.232,14.398,3.331,38.985,7.449,3.705
2311,43.948,22.962,5.435,0.0,18.595,0.0,4.212
78,67.156,56.638,7.674,2.845,46.698,3.968,2.08
5306,189.6,178.015,11.585,0.0,144.09,5.586,3.389
8284,59.939,49.066,8.502,2.371,46.436,2.877,3.71
11173,70.925,61.738,9.187,0.0,50.752,3.367,3.75
779,64.92,56.374,8.546,0.0,53.347,4.725,2.011
9164,36.497,22.997,12.146,0.0,17.971,5.467,3.942
6910,114.601,99.756,12.07,2.776,93.273,5.529,3.811
11341,114.991,99.424,15.567,0.0,77.139,8.163,3.897
10293,26.495,13.728,9.922,2.845,12.918,3.756,3.931
913,46.236,35.905,7.485,2.845,29.616,3.734,2.166
13072,72.615,60.644,9.195,2.776,49.234,5.058,2.185
9500,105.448,80.541,13.536,2.959,76.095,6.728,3.747
11725,46.925,35.856,8.293,2.776,33.519,6.254,0.0
9732,6.753,1.156,5.596,0.0,0.852,0.0,4.337
12968,28.521,18.541,9.98,0.0,17.232,5.613,2.253
1799,15.951,5.531,10.42,0.0,4.362,4.696,3.376
2920,53.54,33.592,14.098,0.0,26.793,7.252,3.67
10603,112.498,87.795,24.703,0.0,66.052,15.095,3.943
10431,9.141,3.429,5.712,0.0,2.828,0.0,4.426
5937,131.816,113.119,15.464,3.232,107.043,8.095,3.886
3698,100.314,74.629,21.259,4.426,57.642,12.803,3.666
8270,54.127,37.466,13.33,3.331,34.758,6.392,3.924
12702,27.655,18.699,8.957,0.0,17.662,3.281,3.658
7836,29.39,15.231,11.556,2.603,14.254,6.928,2.18
2578,20.382,14.879,5.503,0.0,12.273,0.0,4.26
3457,24.423,11.968,12.456,0.0,11.327,5.908,3.741
9951,60.962,39.949,13.974,3.331,32.944,7.098,3.728
6125,42.419,29.393,13.025,0.0,23.354,6.157,3.934
4440,30.044,20.436,9.608,0.0,19.342,3.798,3.646
5592,85.115,52.206,23.022,5.521,35.071,17.361,0.0
